,precision,recall,f1-score,support
admiration,0.6728280961182994,0.7222222222222222,0.6966507177033493,504.0
amusement,0.7728813559322034,0.8636363636363636,0.815742397137746,264.0
anger,0.5172413793103449,0.45454545454545453,0.4838709677419355,198.0
annoyance,0.43037974683544306,0.2125,0.28451882845188287,320.0
approval,0.6066666666666667,0.25925925925925924,0.36327345309381237,351.0
caring,0.5280898876404494,0.34814814814814815,0.41964285714285715,135.0
confusion,0.46875,0.39215686274509803,0.42704626334519574,153.0
curiosity,0.5491071428571429,0.43309859154929575,0.484251968503937,284.0
desire,0.5869565217391305,0.3253012048192771,0.4186046511627907,83.0
disappointment,0.40350877192982454,0.152317880794702,0.22115384615384615,151.0
disapproval,0.5068493150684932,0.27715355805243447,0.3583535108958838,267.0
disgust,0.5844155844155844,0.36585365853658536,0.45,123.0
embarrassment,0.6666666666666666,0.2702702702702703,0.38461538461538464,37.0
excitement,0.49206349206349204,0.30097087378640774,0.37349397590361444,103.0
fear,0.7384615384615385,0.6153846153846154,0.6713286713286714,78.0
gratitude,0.9404761904761905,0.8977272727272727,0.9186046511627907,352.0
grief,0.0,0.0,0.0,6.0
joy,0.64,0.4968944099378882,0.5594405594405595,161.0
love,0.7628458498023716,0.8109243697478992,0.7861507128309573,238.0
nervousness,0.5,0.2608695652173913,0.34285714285714286,23.0
neutral,0.6173007246376812,0.7627308337996642,0.6823529411764706,1787.0
optimism,0.7288135593220338,0.46236559139784944,0.5657894736842105,186.0
pride,1.0,0.1875,0.3157894736842105,16.0
realization,0.68,0.11724137931034483,0.2,145.0
relief,1.0,0.09090909090909091,0.16666666666666666,11.0
remorse,0.5571428571428572,0.6964285714285714,0.6190476190476191,56.0
sadness,0.7333333333333333,0.4230769230769231,0.5365853658536586,156.0
surprise,0.63,0.44680851063829785,0.5228215767634855,141.0
micro avg,0.6396121386245286,0.5628061305103492,0.5987560934610859,6329.0
macro avg,0.6183849528721338,0.4159391243550475,0.4667376312981671,6329.0
weighted avg,0.6274036369705773,0.5628061305103492,0.5728499946122654,6329.0
samples avg,0.6403476444935815,0.5946502057613169,0.6077820772679811,6329.0
